Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
07-Aug-24,Wednesday,August,Q3,2024,EQ,1520.00,1547.85,1514.20,1494.10,1544.15,1543.80,1533.90,1621.40,754.50,2258441.00,3464220318.30,106615.00
06-Aug-24,Tuesday,August,Q3,2024,EQ,1524.90,1539.75,1488.10,1493.85,1500.95,1494.10,1516.13,1621.40,754.50,3159971.00,4790941044.30,164525.00
05-Aug-24,Monday,August,Q3,2024,EQ,1540.00,1563.45,1471.55,1588.00,1494.00,1493.85,1509.80,1621.40,754.50,7147230.00,10790898197.95,299694.00
02-Aug-24,Friday,August,Q3,2024,EQ,1579.95,1599.70,1550.20,1590.15,1586.05,1588.00,1578.81,1621.40,751.55,4313297.00,6809882959.75,161328.00
01-Aug-24,Thursday,August,Q3,2024,EQ,1580.95,1604.95,1568.50,1569.90,1588.95,1590.15,1588.00,1621.40,751.55,7160588.00,11371043601.55,239326.00
31-Jul-24,Wednesday,July,Q3,2024,EQ,1557.00,1577.90,1547.00,1546.25,1573.00,1569.90,1566.77,1621.40,751.55,2622023.00,4108114432.50,88413.00
30-Jul-24,Tuesday,July,Q3,2024,EQ,1554.60,1556.90,1536.00,1548.70,1549.25,1546.25,1546.52,1621.40,751.55,2800881.00,4331616174.95,92520.00
29-Jul-24,Monday,July,Q3,2024,EQ,1547.90,1559.00,1540.00,1542.75,1550.00,1548.70,1549.93,1621.40,751.55,1928637.00,2989250869.30,90622.00
26-Jul-24,Friday,July,Q3,2024,EQ,1495.90,1547.90,1490.00,1487.00,1540.75,1542.75,1530.59,1621.40,728.45,4500728.00,6888765032.15,229011.00
25-Jul-24,Thursday,July,Q3,2024,EQ,1471.00,1499.45,1466.85,1484.80,1490.00,1487.00,1485.89,1621.40,728.45,2211808.00,3286500546.50,104576.00
24-Jul-24,Wednesday,July,Q3,2024,EQ,1508.00,1513.55,1480.00,1507.35,1487.50,1484.80,1492.56,1621.40,728.45,2201442.00,3285789049.50,123454.00
23-Jul-24,Tuesday,July,Q3,2024,EQ,1468.00,1517.00,1419.00,1467.35,1508.00,1507.35,1488.92,1621.40,728.45,5987213.00,8914453567.70,172606.00
22-Jul-24,Monday,July,Q3,2024,EQ,1470.00,1475.00,1442.55,1469.30,1468.00,1467.35,1466.16,1621.40,728.45,1721261.00,2523652273.05,75158.00
19-Jul-24,Friday,July,Q3,2024,EQ,1492.55,1502.20,1465.50,1493.90,1470.00,1469.30,1479.53,1621.40,725.60,2568243.00,3799780575.70,83798.00
18-Jul-24,Thursday,July,Q3,2024,EQ,1490.00,1504.25,1472.20,1499.05,1491.95,1493.90,1489.15,1621.40,725.60,3263419.00,4859707863.25,105528.00
16-Jul-24,Tuesday,July,Q3,2024,EQ,1496.00,1510.60,1493.25,1495.05,1497.50,1499.05,1501.06,1621.40,725.60,2170314.00,3257766731.35,64539.00
15-Jul-24,Monday,July,Q3,2024,EQ,1494.00,1505.00,1485.30,1486.70,1496.00,1495.05,1495.67,1621.40,725.60,1913095.00,2861362652.65,63528.00
12-Jul-24,Friday,July,Q3,2024,EQ,1490.00,1497.00,1481.15,1483.85,1485.00,1486.70,1489.18,1621.40,708.00,2018935.00,3006552791.60,86580.00
11-Jul-24,Thursday,July,Q3,2024,EQ,1495.00,1498.50,1477.90,1487.80,1487.75,1483.85,1486.33,1621.40,708.00,1765496.00,2624101951.50,87382.00
